n_tables,rep,dp_cost,greedy_cost,random_search_cost,randomized_greedy_restarts_cost,mcts_cost,greedy_regret,random_search_regret,randomized_greedy_restarts_regret,mcts_regret,greedy_vs_dp,random_search_vs_dp,randomized_greedy_restarts_vs_dp,mcts_vs_dp
10,0,3.8133971214131003e+20,3.3256348697606868e+22,3.813398470387427e+20,3.8133971214131003e+20,3.8133971214131003e+20,87.20924582143526,1.0000003537460913,1.0,1.0,87.20924582143526,1.0000003537460913,1.0,1.0
10,1,3.6240012173796078e+19,8.472058876004039e+22,3.892896763838498e+19,3.892893820277627e+19,3.892893772189154e+19,2176.2882245923215,1.0000007684898484,1.0000000123528863,1.0,2337.7638052036573,1.0741985254224942,1.0741977131819085,1.0741976999124667
10,2,4.691327201619288e+19,7.22802606691715e+20,4.691327721512903e+19,4.691327201619287e+19,4.691327201619287e+19,15.407209423427725,1.0000001108201566,1.0,1.0,15.407209423427721,1.0000001108201564,0.9999999999999998,0.9999999999999998
10,3,3.0031433551148163e+19,2.4388577377970746e+23,3.0031519803086418e+19,3.003144987442451e+19,3.0031433551232205e+19,8121.016712826908,1.0000028720525134,1.0000005435369004,1.0,8121.016712849634,1.000002872055312,1.0000005435396988,1.0000000000027984
14,0,1.0149116929057588e+25,1.2737852478525519e+32,1.014916023040059e+25,1.0149116929057653e+25,1.0149116929057588e+25,12550700.290048104,1.000004266513363,1.0000000000000064,1.0,12550700.290048104,1.000004266513363,1.0000000000000064,1.0
14,1,1.2601752121768656e+25,7.571279316809288e+29,8.527576144499132e+25,4.724387551028925e+25,1.2601752150684848e+25,60081.163526119846,6.76697656209315,3.748992596059093,1.0,60081.16366398309,6.766976577620769,3.7489926046615945,1.0000000022946167
14,2,2.457487290903093e+26,5.632382519174857e+31,4.7289774811973015e+26,2.4574877757795334e+26,2.4574872911671683e+26,229192.74249836674,1.9243141147441307,1.00000019719832,1.0,229192.74252299522,1.9243141149509126,1.0000001973057773,1.0000000001074574
14,3,1.0198102619860438e+25,6.469943878875906e+30,1.0198288693483691e+25,1.019810364917638e+25,1.4925481282141711e+25,634426.1738699266,1.0000181449722103,1.0,1.463554577948139,634426.2379038943,1.0000182459061444,1.0000001009321027,1.4635547256677799
20,0,,2.8292399117267167e+34,2.4246108448416123e+30,1.7741837574012872e+29,3.166760813029869e+28,893417.6209600682,76.56438196612051,5.6025189843870695,1.0,,,,
20,1,,2.963680233050362e+40,8.111497508843127e+33,4.708534220509364e+33,1.687981844290654e+33,17557536.196698837,4.805441205590601,2.789446010000212,1.0,,,,
20,2,,9.040997808197794e+39,1.9667744722252736e+37,1.0200057691049055e+36,1.0193421171075934e+36,8869.443983980405,19.29454732829093,1.0006510591352737,1.0,,,,
20,3,,8.679841106829313e+40,7.0174534851157605e+34,6.450269476451296e+33,2.9248255557638486e+33,29676440.325558092,23.992724869648097,2.2053518589305203,1.0,,,,
25,0,,1.2301658163991626e+44,1.792299823899823e+41,9.717443129447655e+37,9.641358006855864e+38,1265935.6993521051,1844.4150380139124,1.0,9.921702528557924,,,,
25,1,,1.6341810511847492e+35,8.4480307523549e+33,1.9464572424940955e+31,4.041170917431476e+31,8395.668887598009,434.0208748449056,1.0,2.076167320404797,,,,
25,2,,3.0237532093354283e+46,2.6584796838630046e+42,3.5667618059916847e+39,2.796470023364897e+41,8477586.60041701,745.3482538130561,1.0,78.40361020652402,,,,
25,3,,2.823870019575711e+37,4.653012843531154e+38,1.6865003004268895e+37,2.7272417001983195e+36,10.354307868533855,170.61241191760877,6.183904786672375,1.0,,,,
