n_tables,rep,greedy_cost,greedy_time,mcts_cost,mcts_time,mcts_iters,mcts_vs_greedy_ratio
16,0,8.433804036810563e+31,0.0016646999997647072,1.8490560042627637e+28,0.8671750000003158,1000,0.00021924341568671624
16,1,3.717184697286464e+34,0.0017127000000982662,2.3723795616066328e+30,0.9546942000001764,1000,6.382194469213392e-05
16,2,4.285060328493881e+33,0.001740199999858305,5.4776642496865595e+29,0.9165379000000939,1000,0.00012783167166311184
16,3,1.4818637949873585e+35,0.0017790000001696171,2.2402232116571985e+28,0.9381967999997869,1000,1.5117605404998165e-07
20,0,1.0742886227982889e+36,0.003268599999955768,3.8398729637157685e+33,2.054283800000121,1000,0.0035743401561060305
20,1,1.046124712456638e+40,0.0031659000001127424,2.1045237096972066e+34,1.9653737000003275,1000,2.011733098967815e-06
20,2,1.8547034359883973e+36,0.002999300000283256,1.8909211884091391e+34,1.9262024999998175,1000,0.010195275167544189
20,3,1.2305781018467498e+45,0.0032390000001214503,1.6637603149408208e+37,2.0184534999998505,1000,1.3520152133732813e-08
25,0,4.052503137549919e+42,0.005528899999717396,1.4854829683711033e+37,3.813554700000168,1000,3.66559362929748e-06
25,1,1.9860934237602944e+36,0.006009100000028411,1.9447648417729353e+33,3.9434839000000466,1000,0.0009791910181601068
25,2,5.625843992179996e+40,0.005728300000100717,3.8647870076906745e+32,4.033309100000224,1000,6.869701707091032e-09
25,3,4.082316918222372e+38,0.006266200000027311,7.519080846449066e+33,3.990491700000348,1000,1.841866027815209e-05
30,0,1.7893565711233417e+41,0.00919290000001638,5.492365349986181e+31,8.333017500000096,1200,3.0694638724455706e-10
30,1,3.3965957792648035e+49,0.00934240000015052,1.3383114207672052e+42,8.25354070000003,1200,3.9401551074672886e-08
30,2,5.864440987969136e+38,0.00973889999977473,4.671682235955319e+35,8.39475739999989,1200,0.0007966116882306849
30,3,1.0427246292831257e+44,0.009571699999924022,1.1382393996747193e+40,8.322767500000282,1200,0.0001091601145411958
35,0,1.5402772240308088e+30,0.014813999999660155,2.7124741082267194e+25,15.531251099999736,1400,1.7610298106780705e-05
35,1,7.343038781668535e+39,0.014943700000003446,1.4854161886580827e+35,15.588471600000048,1400,2.0228902949094276e-05
35,2,2.3312743949537448e+35,0.015278500000022177,2.2325505386854368e+33,15.720346099999915,1400,0.009576524082784914
35,3,3.564690454794932e+49,0.014642000000094413,1.2842779864668833e+45,16.183387699999912,1400,3.602775620361024e-05
40,0,3.4857508629883064e+32,0.02268759999969916,1.1149912856660646e+25,26.89081759999999,1600,3.1987119260445124e-08
40,1,6.86537866564333e+38,0.020915900000090915,1.1688294160806756e+32,26.986396199999945,1600,1.7024981038990494e-07
40,2,1.4031864335551873e+37,0.02116359999990891,9.85325770444656e+28,26.68053480000026,1600,7.0220588432299946e-09
40,3,1.4737657128665662e+36,0.02126280000038605,2.843824071933623e+35,25.705723000000035,1600,0.19296310445452067
