n_tables,rep,p_greedy,mcts_cost,greedy_cost,mcts_vs_greedy_ratio
20,0,0.0,9.326084053585582e+35,6.4931609598987854e+38,0.0014362933725473141
20,0,0.25,1.067668097060231e+35,6.4931609598987854e+38,0.00016442963660597037
20,0,0.5,7.223854116036713e+33,6.4931609598987854e+38,1.1125327341568501e-05
20,0,0.75,7.223854112974032e+33,6.4931609598987854e+38,1.1125327336851722e-05
20,0,1.0,7.223854113256032e+33,6.4931609598987854e+38,1.1125327337286025e-05
20,1,0.0,6.770227553783656e+35,5.605779047698565e+41,1.2077228688781716e-06
20,1,0.25,5.3168445003532884e+35,5.605779047698565e+41,9.484577353322732e-07
20,1,0.5,1.153382859948661e+35,5.605779047698565e+41,2.05748897724069e-07
20,1,0.75,3.0196753791887226e+35,5.605779047698565e+41,5.386718515829554e-07
20,1,1.0,4.271530611065565e+35,5.605779047698565e+41,7.619869735713591e-07
20,2,0.0,5.053012478021161e+33,8.129669259706974e+38,6.215520357101578e-06
20,2,0.25,1.169127163246062e+34,8.129669259706974e+38,1.4380992951836298e-05
20,2,0.5,6.430369963085047e+33,8.129669259706974e+38,7.909755929378145e-06
20,2,0.75,1.5365320683973914e+33,8.129669259706974e+38,1.8900302328569444e-06
20,2,1.0,2.0051593760531482e+33,8.129669259706974e+38,2.4664710359021694e-06
20,3,0.0,2.592025957210038e+35,2.7418130596749116e+40,9.453693234349706e-06
20,3,0.25,1.1511832172014957e+35,2.7418130596749116e+40,4.198620373257643e-06
20,3,0.5,1.2923624520710413e+35,2.7418130596749116e+40,4.713532337701655e-06
20,3,0.75,2.4097075425787325e+34,2.7418130596749116e+40,8.788737562087636e-07
20,3,1.0,2.0210327925097522e+34,2.7418130596749116e+40,7.371154591952304e-07
20,4,0.0,4.87245065518576e+28,4.1793429643008935e+32,0.00011658413049144932
20,4,0.25,9.127992452357625e+28,4.1793429643008935e+32,0.00021840735566157406
20,4,0.5,3.7670565491529456e+28,4.1793429643008935e+32,9.013513801883177e-05
20,4,0.75,3.7670565404997116e+28,4.1793429643008935e+32,9.013513781178407e-05
20,4,1.0,1.0726793345037434e+28,4.1793429643008935e+32,2.5666219395401485e-05
