n_tables,rep,greedy_cost,randomized_greedy_restarts_cost,mcts_cost,mcts_pw_cost,greedy_regret,randomized_greedy_restarts_regret,mcts_regret,mcts_pw_regret
20,0,2.8292399117267167e+34,1.774183758846384e+29,3.166760813029869e+28,3.0682595645160544e+28,922099.2723192122,5.7823783208061785,1.032103297143751,1.0
20,1,2.963680233050362e+40,4.6599336382806163e+33,1.687981844290654e+33,1.820322768556189e+33,17557536.196698837,2.7606538862027126,1.0,1.078401864755334
20,2,9.040997808197794e+39,1.0193421171075888e+36,1.0193421171075934e+36,9.826949001216742e+35,9200.208332289469,1.0372925686104375,1.0372925686104422,1.0
20,3,8.679841106829313e+40,6.450269543923477e+33,2.9248255557638486e+33,4.245358106963514e+33,29676440.325558092,2.2053518819993085,1.0,1.4514910465676627
20,4,2.173407119054397e+34,9.252445918819266e+28,9.252445189195457e+28,9.252445194603513e+28,234900.8369800875,1.0000000788574042,1.0,1.0000000005845002
20,5,4.981208044103877e+45,9.943228382965796e+39,6.739359466912773e+38,4.985823883445175e+38,9990742.073027039,19.942999623354293,1.3517042768578331,1.0
20,6,4.018304218879989e+35,1.242585604929634e+32,8.896098336588514e+31,1.2199760354560995e+32,4516.928733075283,1.3967759324546114,1.0,1.3713607800832126
20,7,4.5558674687485195e+39,9.972531800562861e+35,7.537349257081274e+35,5.368299391713083e+35,8486.612121114751,1.8576705717935968,1.4040478570767685,1.0
25,0,1.2301658163991626e+44,9.717443108982136e+37,9.641358006855864e+38,2.798384319170432e+38,1265935.7020182419,1.0,9.921702549453627,2.8797537456985967
25,1,1.6341810511847492e+35,1.9602987422349475e+31,4.041170917431476e+31,1.9464570083348674e+31,8395.669897598918,1.0071112456328646,2.0761675701682054,1.0
25,2,3.0237532093354283e+46,4.1972428369987895e+40,2.796470023364897e+41,3.566761805988128e+39,8477586.600425465,11.767656673771056,78.40361020660221,1.0
25,3,2.823870019575711e+37,1.5402501733574799e+37,2.7272417001983195e+36,9.544522220040067e+36,10.354307868533855,5.647648219977994,1.0,3.4996979619906843
25,4,1.0451842185150059e+43,1.1296641196403005e+35,2.88846640133628e+35,4.553750998550715e+35,92521679.70492025,1.0,2.55692497541305,4.031066331469116
25,5,1.2202154598455912e+35,1.5154499607847225e+31,3.098021247141862e+30,3.7941170174512877e+31,39386.92999511621,4.8916706500409886,1.0,12.246904442477993
25,6,6.3577023881782e+31,6.357699121856886e+31,6.357699180146721e+31,6.357699132740148e+31,1.0000005137583976,1.0,1.0000000091683854,1.000000001711824
25,7,2.273983206451432e+36,3.42339996834622e+31,7.3331664354962135e+31,3.423400757087354e+31,66424.70139269033,1.0,2.1420711875039036,1.000000230397015
30,0,2.2200553325643182e+41,7.324243973174693e+36,1.9500605050400713e+37,9.6267789985611e+36,30311.051088622262,1.0,2.6624734405110453,1.314371699498204
30,1,6.142345517503623e+48,1.7703932961155013e+43,3.4130421912016785e+43,1.6973572819672932e+43,361876.99447605055,1.0430292519578181,2.010797742739142,1.0
30,2,2.3213639358529065e+50,1.9897596250208583e+44,1.3021407658082764e+43,1.5940764910463453e+44,17827288.698791094,15.280679917779528,1.0,12.241967480811155
30,3,1.3438127042131912e+33,2.4641479145327856e+31,1.216078583222367e+31,3.669804016662709e+31,110.50377193983255,2.026306480953955,1.0,3.0177359155018224
30,4,6.2003270464410014e+32,7.426671285691392e+30,5.948001107330644e+31,1.795502915906986e+31,83.48729609706668,1.0,8.008973170510952,2.417641560851487
30,5,5.276417901834819e+43,1.2495425498662647e+39,9.772978628603134e+38,1.9580629570466323e+39,53989.86432234719,1.2785687939694836,1.0,2.003547773363443
30,6,1.1640449435624189e+48,1.9235309645198807e+44,1.550388823656338e+45,1.1226674142515801e+45,6051.6049132225335,1.0,8.06011887645032,5.836492549168821
30,7,2.1738896281383493e+46,3.751351090432409e+43,4.0603753130481927e+43,5.663353546254307e+43,579.4951140890869,1.0,1.0823767797698092,1.509683687218278
